id,title,description,preconditions,postconditions,tags,priority,severity,type,behavior,automation,status,is_flaky,layer,steps_type,steps_actions,steps_result,steps_data,milestone_id,milestone,suite_id,suite_parent_id,suite,suite_without_cases
,,,,,,,,,,,,,,,,,,,,2,,"Testing ""QA Studio""",1
,,,,,,,,,,,,,,,,,,,,3,2,"Testing page ""Каталог""",1
,,,,,,,,,,,,,,,,,,,,3,2,"Testing page ""Каталог""",1
,,,,,,,,,,,,,,,,,,,,7,3,"Sort testing",1
,,,,,,,,,,,,,,,,,,,,7,3,"Sort testing",1
,,,,,,,,,,,,,,,,,,,,8,3,"Filter testing",1
,,,,,,,,,,,,,,,,,,,,8,3,"Filter testing",1
,,,,,,,,,,,,,,,,,,,,4,2,"Testing ""Контакты"" tab",1
,,,,,,,,,,,,,,,,,,,,4,2,"Testing ""Контакты"" tab",1
,,,,,,,,,,,,,,,,,,,,5,2,"Testing ""Часто задаваемые вопросы"" tab.",1
,,,,,,,,,,,,,,,,,,,,5,2,"Testing ""Часто задаваемые вопросы"" tab.",1
,,,,,,,,,,,,,,,,,,,,6,2,"Smoke tests of ""QA Studio"" Web application.",1
,,,,,,,,,,,,,,,,,,,,6,2,"Smoke tests of ""QA Studio"" Web application.",1
,,,,,,,,,,,,,,,,,,,,9,2,"Header and Footer testing",1
,,,,,,,,,,,,,,,,,,,,9,2,"Header and Footer testing",1
31,"Testing button ""Купить сейчас"" from first slider.",,,,,medium,normal,functional,positive,is-not-automated,actual,no,e2e,classic,"1. Click at button ""Купить сейчас"" at first slider.
","1. Page
https://test.qa.studio/?product=%D0%B3%D1%80%D0%B0%D0%B4%D0%B2%D0%B8%D1%81-%D0%BA%D0%B5%D1%80%D0%B0%D0%BC%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F-%D0%B2%D0%B0%D0%B7%D0%B0-2
is opened.
","1. 
",,,3,2,"Testing page ""Каталог""",
32,"Testing button ""Купить сейчас"" from second slider.",,,,,medium,normal,functional,positive,is-not-automated,actual,no,e2e,classic,"1. Switching from first slider to second (Click to transparent dot under button ""Купить сейчас"").
2. Click at button ""Купить сейчас"".
","1. Slider switched from first to second.
2. Page 
https://test.qa.studio/?product=%d0%bb%d0%b5%d1%80%d0%b3%d1%80%d1%8e%d0%bd-%d0%bf%d0%be%d0%b4%d0%b2%d0%b5%d1%81%d0%bd%d0%be%d0%b9-%d1%81%d0%b2%d0%b5%d1%82%d0%b8%d0%bb%d1%8c%d0%bd%d0%b8%d0%ba
is opened.
","1. 
2. 
",,,3,2,"Testing page ""Каталог""",
